symbol,date,price
SU Case Setup,Sep 2009,8
SU Case Setup,Oct 2009,65
SU Case Setup,Nov 2009,25
SU Case Setup,Dec 2009,25
SU Case Setup,Jan 2010,25
SU Case Setup,Feb 2010,0
SU Case Setup,Mar 2010,0
SU Case Setup,Apr 2010,30
SU Case Setup,May 2010,17
SU Case Setup,Jun 2010,8
SU Case Setup,Jul 2010,10
SU Case Setup,Aug 2010,10
SU Case Setup,Sep 2010,0
SU Case Setup,Oct 2010,0
SU Case Setup,Nov 2010,0
SU Case Setup,Dec 2010,0
SU Case Setup,Jan 2011,16
SU Case Setup,Feb 2011,0
SU Case Setup,Mar 2011,0
SU Case Setup,Apr 2011,47
SU Case Setup,May 2011,32
SU Case Setup,Jun 2011,0
SU Case Setup,Jul 2011,0
SU Case Setup,Aug 2011,0
SU Case Setup,Sep 2011,0
SU Case Setup,Oct 2011,0
SU Case Setup,Nov 2011,0
SU Case Setup,Dec 2011,0
SU Plan Documents,Jan 2008,0
SU Plan Documents,Feb 2008,0
SU Plan Documents,Mar 2008,0
SU Plan Documents,Apr 2008,0
SU Plan Documents,May 2008,0
SU Plan Documents,Jun 2008,0
SU Plan Documents,Jul 2008,0
SU Plan Documents,Aug 2008,16
SU Plan Documents,Sep 2008,22
SU Plan Documents,Oct 2008,22
SU Plan Documents,Nov 2008,18
SU Plan Documents,Dec 2008,35
SU Plan Documents,Jan 2009,24
SU Plan Documents,Feb 2009,13
SU Plan Documents,Mar 2009,13
SU Plan Documents,Apr 2009,19
SU Plan Documents,May 2009,129
SU Plan Documents,Jun 2009,15
SU Plan Documents,Jul 2009,9
SU Plan Documents,Aug 2009,0
SU Plan Documents,Sep 2009,0
SU Plan Documents,Oct 2009,38
SU Plan Documents,Nov 2009,29
SU Plan Documents,Dec 2009,149
SU Plan Documents,Jan 2010,166
SU Plan Documents,Feb 2010,118
SU Plan Documents,Mar 2010,0
SU Plan Documents,Apr 2010,12
SU Plan Documents,May 2010,0
SU Plan Documents,Jun 2010,0
SU Plan Documents,Jul 2010,0
SU Plan Documents,Aug 2010,0
SU Plan Documents,Sep 2010,0
SU Plan Documents,Oct 2010,0
SU Plan Documents,Nov 2010,0
SU Plan Documents,Dec 2010,0
SU Plan Documents,Jan 2011,26
SU Plan Documents,Feb 2011,44
SU Plan Documents,Mar 2011,157
SU Plan Documents,Apr 2011,24
